customer_id,gender,past_3_years_bike_related_purchases,Age_group,job_industry_category,wealth_segment,owns_car,state,monetary,rfm_level,brand|Giant Bicycles,brand|Norco Bicycles,brand|OHM Cycles,brand|Solex,brand|Trek Bicycles,brand|WeareA2B,online_order|False,online_order|True,product_class|high,product_class|low,product_class|medium,product_line|Mountain,product_line|Road,product_line|Standard,product_line|Touring,product_size|large,product_size|medium,product_size|small
1,Female,93,senior cetizen,Health,Mass Customer,Yes,NSW,3018.0899999999992,champions,4.0,2.0,2.0,2.0,1.0,0.0,5.0,6.0,1.0,2.0,8.0,1.0,3.0,7.0,0.0,0.0,9.0,2.0
2,Male,81,mid-age adult,Financial Services,Mass Customer,Yes,NSW,2226.26,hibernating,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
5,Female,56,mid-age adult,,Affluent Customer,Yes,NSW,2394.94,loyal customers,1.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0
8,Male,31,senior cetizen,,Mass Customer,No,NSW,5364.389999999999,loyal customers,3.0,2.0,0.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,4.0,0.0,1.0,7.0,1.0,3.0,6.0,0.0
9,Female,97,mid-age adult,Argiculture,Affluent Customer,Yes,NSW,2353.1099999999997,at risk,1.0,0.0,1.0,3.0,0.0,1.0,5.0,1.0,1.0,1.0,4.0,0.0,1.0,5.0,0.0,1.0,5.0,0.0
12,Male,58,adult,Manufacturing,Mass Customer,No,QLD,3540.0299999999997,can't loose,1.0,4.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,6.0,0.0,1.0,6.0,0.0,2.0,4.0,1.0
13,Male,38,senior cetizen,Financial Services,High Net Worth,Yes,VIC,4337.38,loyal customers,0.0,2.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,6.0,0.0,1.0,4.0,2.0,3.0,3.0,1.0
14,Female,85,adult,Financial Services,Affluent Customer,No,NSW,1713.9,about to sleep,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0
15,Male,91,youth,Manufacturing,Mass Customer,No,NSW,1728.39,loyal customers,1.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0
16,Male,38,mid-age adult,,Mass Customer,Yes,VIC,4521.839999999999,at risk,1.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0
17,Male,57,senior cetizen,,Affluent Customer,Yes,VIC,2015.6100000000001,potential loyalists,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0
18,Female,79,mid-age adult,,Affluent Customer,No,NSW,3543.38,can't loose,3.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,0.0,6.0,1.0,2.0,4.0,1.0
19,Female,76,youth,Manufacturing,High Net Worth,No,NSW,1736.45,hibernating,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
20,Male,72,mid-age adult,Manufacturing,Mass Customer,No,NSW,3608.2799999999997,potential loyalists,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0
21,Male,74,mid-age adult,Manufacturing,Affluent Customer,Yes,NSW,4229.41,potential loyalists,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,3.0,1.0
24,Female,55,mid-age adult,Argiculture,Mass Customer,Yes,NSW,3689.35,loyal customers,1.0,0.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,4.0,0.0,1.0,5.0,1.0,1.0,6.0,0.0
25,Male,72,mid-age adult,Financial Services,Mass Customer,Yes,QLD,5333.660000000001,champions,2.0,2.0,3.0,3.0,0.0,2.0,4.0,8.0,2.0,0.0,10.0,0.0,2.0,10.0,0.0,3.0,8.0,1.0
