User_id,First_tran_date,Location,Age,Gender
3891001,2019/11/15,Ho Chi Minh,>37,MALE
52571990,2020/01/14,Ho Chi Minh,>37,MALE
366389,2018/09/21,Other Cities,>37,MALE
51104816,2020/04/13,Other Cities,>37,MALE
7710245,2018/12/21,Other Cities,>37,MALE
997497,2017/04/03,Ho Chi Minh,>37,MALE
45160302,2020/05/08,Ho Chi Minh,>37,FEMALE
50283994,2019/11/12,Other Cities,>37,MALE
19947403,2020/04/17,Unknown,>37,FEMALE
22788062,2020/06/28,Unknown,>37,FEMALE
2480145,2017/08/03,Ho Chi Minh,>37,FEMALE
21724769,2020/04/03,Ho Chi Minh,>37,MALE
40032023,2019/02/09,Ha Noi,>37,FEMALE
40604716,2017/12/29,Ho Chi Minh,>37,FEMALE
7747274,2017/01/01,Ho Chi Minh,>37,FEMALE
35187891,2018/12/13,Other Cities,>37,FEMALE
32861848,2019/06/05,Ho Chi Minh,>37,MALE
16919520,2019/07/27,Other Cities,>37,MALE
49364156,2019/10/05,Ha Noi,>37,MALE
12450406,2016/09/22,Ho Chi Minh,>37,MALE
48145955,2019/08/01,Other Cities,>37,FEMALE
27350430,2019/07/04,Ha Noi,>37,FEMALE
41048329,2018/03/01,Ho Chi Minh,>37,MALE
54788801,2020/05/12,Other Cities,>37,FEMALE
6327438,2019/09/02,Ho Chi Minh,>37,MALE
50364707,2020/10/30,Other Cities,>37,FEMALE
50087945,2019/10/20,Ha Noi,>37,FEMALE
43646531,2018/12/30,Ha Noi,>37,MALE
52957812,2020/01/27,Other Cities,>37,MALE
1853028,2019/03/02,Other Cities,>37,FEMALE
43644187,2018/10/28,Ha Noi,>37,FEMALE
48751829,2020/07/21,Other Cities,>37,FEMALE
51736224,2019/12/23,Ho Chi Minh,>37,FEMALE
44795127,2020/04/07,Other Cities,>37,FEMALE
55404468,2020/04/22,Other Cities,>37,MALE
44051144,2020/09/03,Other Cities,>37,FEMALE
52451874,2020/10/01,Other Cities,>37,MALE
40711216,2018/02/14,Ha Noi,>37,MALE
7089348,2018/01/09,Other Cities,>37,MALE
50147266,2019/10/25,Ho Chi Minh,>37,MALE
18282018,2019/01/23,Ho Chi Minh,>37,MALE
40362358,2017/11/21,Other Cities,>37,MALE
38894377,2017/05/18,Ha Noi,>37,FEMALE
49838991,2019/10/14,Ha Noi,>37,MALE
54222932,2020/03/07,Ho Chi Minh,>37,MALE
33849930,2020/01/22,Ho Chi Minh,>37,FEMALE
55342069,2020/04/15,Ho Chi Minh,>37,MALE
54490046,2020/05/13,Other Cities,>37,FEMALE
37015376,2018/03/31,Ha Noi,>37,FEMALE
50035963,2019/10/18,Ha Noi,>37,FEMALE
39720532,2017/08/12,Ho Chi Minh,>37,MALE
41543470,2020/03/17,Ho Chi Minh,>37,FEMALE
39901739,2018/05/12,Ha Noi,>37,MALE
36975330,2018/02/22,Ho Chi Minh,>37,MALE
390019,2016/02/09,Ho Chi Minh,>37,FEMALE
53104693,2020/04/03,Ho Chi Minh,>37,MALE
37584275,2017/09/20,Other Cities,>37,FEMALE
8025276,2020/11/19,Other Cities,>37,MALE
40580801,2019/12/10,Other Cities,>37,MALE
44407648,2018/12/12,Other Cities,>37,FEMALE
55373702,2020/04/16,Unknown,>37,FEMALE
32927276,2018/01/15,Ho Chi Minh,>37,FEMALE
33974589,2016/01/09,Ho Chi Minh,>37,MALE
56243641,2020/05/30,Unknown,>37,FEMALE
36146051,2019/01/16,Ho Chi Minh,>37,MALE
39881693,2019/01/22,Other Cities,>37,FEMALE
43867047,2020/09/18,Ho Chi Minh,>37,FEMALE
278798,2019/09/08,Ho Chi Minh,>37,MALE
53772828,2020/03/08,Other Cities,>37,MALE
49253701,2019/09/12,Other Cities,>37,FEMALE
51326272,2019/12/13,Other Cities,>37,MALE
36870467,2019/12/10,Ho Chi Minh,>37,MALE
48570120,2019/08/10,Unknown,>37,FEMALE
42409431,2019/09/29,Ha Noi,>37,MALE
53801254,2020/02/20,Other Cities,>37,FEMALE
41239734,2019/12/12,Ho Chi Minh,>37,FEMALE
29155265,2016/07/29,Ho Chi Minh,>37,FEMALE
40144284,2017/10/18,Ho Chi Minh,>37,MALE
36768351,2019/04/23,Ho Chi Minh,>37,MALE
57238551,2020/07/24,Ho Chi Minh,>37,FEMALE
41217828,2019/11/06,Other Cities,>37,FEMALE
44152030,2020/03/29,Other Cities,>37,MALE
40642733,2017/12/24,Other Cities,>37,MALE
429378,2019/02/09,Ho Chi Minh,>37,MALE
52789010,2020/01/23,Ho Chi Minh,>37,MALE
40138890,2017/11/01,Ho Chi Minh,>37,FEMALE
39267668,2019/06/10,Other Cities,>37,MALE
40009664,2020/04/27,Other Cities,>37,FEMALE
49794629,2019/10/07,Ho Chi Minh,>37,FEMALE
12116628,2019/11/14,Ho Chi Minh,>37,MALE
34733312,2020/02/19,Ho Chi Minh,>37,FEMALE
44409449,2018/11/28,Ho Chi Minh,>37,FEMALE
49904363,2020/06/13,Ho Chi Minh,>37,FEMALE
42960183,2018/08/19,Other Cities,>37,MALE
907077,2020/06/30,Ho Chi Minh,>37,MALE
27289705,2017/06/23,Ha Noi,>37,MALE
46741408,2019/04/24,Ho Chi Minh,>37,FEMALE
28668250,2018/07/13,Other Cities,>37,MALE
44351175,2018/12/18,Ho Chi Minh,>37,MALE
45077282,2020/07/14,Other Cities,>37,MALE
47447314,2019/06/12,Ha Noi,>37,MALE
44363205,2020/01/06,Ha Noi,>37,MALE
41275949,2018/03/09,Ho Chi Minh,>37,FEMALE
3766292,2019/12/21,Other Cities,>37,MALE
23755412,2020/02/10,Ho Chi Minh,>37,FEMALE
46151774,2019/04/24,Ho Chi Minh,>37,MALE
34731027,2019/04/05,Ho Chi Minh,>37,FEMALE
52901228,2020/06/20,Ha Noi,>37,FEMALE
45311998,2019/08/16,Ho Chi Minh,>37,MALE
23916738,2020/02/26,Ho Chi Minh,>37,FEMALE
28143207,2020/01/03,Other Cities,>37,MALE
40528704,2018/01/20,Ho Chi Minh,>37,FEMALE
34070538,2018/02/09,Ho Chi Minh,>37,MALE
32543663,2019/10/10,Other Cities,>37,MALE
54387475,2020/08/31,Other Cities,>37,MALE
56408197,2020/06/22,Other Cities,>37,FEMALE
39896006,2017/09/05,Ho Chi Minh,>37,MALE
47049081,2020/02/24,Ha Noi,>37,FEMALE
46609884,2019/04/05,Other Cities,>37,MALE
43744683,2018/10/16,Other Cities,>37,MALE
30165970,2018/10/27,Ho Chi Minh,>37,MALE
38566570,2019/12/27,Ho Chi Minh,>37,MALE
49462446,2019/09/21,Other Cities,>37,MALE
46869792,2019/04/23,Ha Noi,>37,FEMALE
46280476,2019/03/13,Ho Chi Minh,>37,MALE
40737222,2018/04/19,Ho Chi Minh,>37,MALE
45562702,2020/02/05,Other Cities,>37,MALE
38491030,2018/02/25,Ho Chi Minh,>37,MALE
332743,2019/05/26,Ho Chi Minh,>37,MALE
42652587,2019/03/15,Ho Chi Minh,>37,FEMALE
42351011,2019/03/22,Other Cities,>37,MALE
44361585,2019/04/15,Ho Chi Minh,>37,MALE
43106706,2020/02/28,Other Cities,>37,MALE
56827408,2020/07/01,Ho Chi Minh,>37,FEMALE
35127735,2020/01/02,Ho Chi Minh,>37,FEMALE
49655333,2019/10/12,Ho Chi Minh,>37,FEMALE
37372742,2017/07/20,Ho Chi Minh,>37,FEMALE
44561906,2018/12/19,Ho Chi Minh,>37,MALE
21269588,2018/12/11,Ha Noi,>37,FEMALE
34194847,2018/10/25,Other Cities,>37,MALE
29015807,2020/02/06,Ho Chi Minh,>37,MALE
34115754,2020/04/23,Ho Chi Minh,>37,FEMALE
53640147,2020/02/15,Other Cities,>37,MALE
40151120,2017/12/29,Ha Noi,>37,FEMALE
56636150,2020/07/05,Ho Chi Minh,>37,FEMALE
44407525,2018/12/22,Ha Noi,>37,FEMALE
44791796,2019/07/31,Other Cities,>37,MALE
52269202,2020/03/28,Ho Chi Minh,>37,MALE
52258093,2020/01/02,Unknown,>37,MALE
43569976,2018/10/04,Ho Chi Minh,>37,FEMALE
54206405,2020/03/06,Other Cities,>37,MALE
50614214,2019/12/29,Ho Chi Minh,>37,FEMALE
48907663,2019/08/30,Other Cities,>37,MALE
35363481,2016/06/30,Ho Chi Minh,>37,FEMALE
56986234,2020/07/15,Ho Chi Minh,>37,FEMALE
52254770,2020/06/27,Other Cities,>37,MALE
35111466,2016/02/27,Ho Chi Minh,>37,FEMALE
48038887,2020/08/11,Other Cities,>37,FEMALE
41766352,2019/11/02,Other Cities,>37,MALE
56263154,2020/10/06,Other Cities,>37,FEMALE
52636275,2020/01/17,Other Cities,>37,FEMALE
3464946,2019/06/25,Other Cities,>37,MALE
49790521,2019/11/30,Other Cities,>37,FEMALE
56126666,2020/06/07,Unknown,>37,FEMALE
18058208,2019/11/07,Unknown,>37,MALE
31588432,2018/09/21,Ha Noi,>37,FEMALE
44936521,2019/01/10,Other Cities,>37,MALE
51227110,2020/08/26,Other Cities,>37,FEMALE
46536938,2019/03/29,Ho Chi Minh,>37,MALE
50376990,2020/11/06,Other Cities,>37,MALE
47020692,2020/09/15,Other Cities,>37,FEMALE
45824957,2019/03/17,Ho Chi Minh,>37,MALE
48933367,2020/02/06,Other Cities,>37,MALE
47157648,2019/06/10,Ho Chi Minh,>37,MALE
46741917,2019/07/31,Ha Noi,>37,MALE
6127877,2018/07/13,Ho Chi Minh,>37,MALE
3596605,2017/03/03,Ho Chi Minh,>37,FEMALE
35873601,2017/05/11,Ha Noi,>37,MALE
52146026,2020/01/07,Other Cities,>37,MALE
37853890,2018/03/09,Other Cities,>37,MALE
49500727,2019/11/02,Other Cities,>37,FEMALE
46569967,2020/05/14,Other Cities,>37,FEMALE
39567032,2020/03/25,Other Cities,>37,MALE
56536818,2020/08/18,Other Cities,>37,FEMALE
52084753,2019/12/27,Other Cities,>37,MALE
51104599,2019/11/25,Other Cities,>37,MALE
38995940,2019/10/28,Other Cities,>37,MALE
38995940,2019/10/28,Ho Chi Minh,>37,MALE
40691982,2018/06/14,Ho Chi Minh,>37,FEMALE
47817269,2019/07/09,Other Cities,>37,MALE
41261520,2018/03/06,Other Cities,>37,MALE
8226228,2019/07/16,Other Cities,>37,MALE
36492115,2018/06/15,Ho Chi Minh,>37,MALE
44332190,2020/03/19,Ho Chi Minh,>37,FEMALE
52670153,2020/03/15,Other Cities,>37,FEMALE
20387442,2019/08/13,Unknown,>37,MALE
31299624,2018/10/03,Other Cities,>37,MALE
6225153,2019/06/03,Other Cities,>37,FEMALE
42796029,2020/07/20,Ha Noi,>37,FEMALE
50766968,2019/11/13,Other Cities,>37,MALE
53509172,2020/03/19,Ho Chi Minh,>37,FEMALE
51061182,2020/10/23,Other Cities,>37,MALE
55634568,2020/04/29,Other Cities,>37,MALE
2657191,2019/11/23,Other Cities,>37,MALE
47832232,2019/06/26,Other Cities,>37,MALE
1501918,2020/11/02,Other Cities,>37,MALE
60781562,2020/12/09,Other Cities,>37,FEMALE
49266984,2019/10/18,Other Cities,>37,MALE
5319518,2018/03/03,Ho Chi Minh,>37,MALE
6169154,2019/08/05,Other Cities,>37,MALE
51564794,2019/12/10,Unknown,>37,FEMALE
24056726,2019/07/31,Ho Chi Minh,>37,MALE
51347124,2020/01/22,Ho Chi Minh,>37,MALE
45382123,2019/02/22,Ho Chi Minh,>37,MALE
50849940,2019/11/17,Other Cities,>37,MALE
673257,2019/10/05,Ho Chi Minh,>37,MALE
55809895,2020/06/11,Other Cities,>37,MALE
13422339,2019/08/18,Ho Chi Minh,>37,FEMALE
52442677,2020/02/24,Other Cities,>37,MALE
44838660,2020/10/03,Ho Chi Minh,>37,FEMALE
4701193,2018/10/06,Other Cities,>37,MALE
26758238,2019/10/26,Ha Noi,>37,MALE
35284796,2018/01/28,Other Cities,>37,FEMALE
26210774,2018/03/05,Ho Chi Minh,>37,FEMALE
47342487,2020/02/24,Ho Chi Minh,>37,FEMALE
49261811,2019/09/11,Other Cities,>37,MALE
44531202,2019/02/06,Ho Chi Minh,>37,FEMALE
57279077,2020/07/21,Ho Chi Minh,>37,MALE
51217927,2020/02/11,Other Cities,>37,MALE
47267282,2019/10/12,Ha Noi,>37,MALE
6962630,2017/12/08,Other Cities,>37,MALE
