,Price (Tỷ),Area (m2),Price Per m2 (tr/m2),Location,In-Out
0,4.1,35.0,117.14,hoàn kiếm,Quận
1,1.92,32.0,60.0,hà đông,Quận
2,2.5,130.0,19.23,long biên,Quận
3,1.36,32.0,42.5,hà đông,Quận
4,4.12,47.0,87.66,hà đông,Quận
5,17.5,222.0,78.83,long biên,Quận
6,2.6,30.0,86.67,hà đông,Quận
7,3.5,58.0,60.34,hoàn kiếm,Quận
8,1.85,30.0,61.67,thanh trì,Huyện
9,1.65,30.0,55.0,thanh trì,Huyện
10,1.35,31.0,43.55,thanh trì,Huyện
11,8.8,65.0,135.38,thanh xuân,Quận
12,3.3,54.0,61.11,hoàn kiếm,Quận
13,12.5,60.0,208.33,đống đa,Quận
14,7.0,63.0,111.11,long biên,Quận
15,5.75,44.0,130.68,đống đa,Quận
16,4.9,52.0,94.23,đống đa,Quận
17,4.1,35.0,117.14,hoàn kiếm,Quận
18,2.25,20.0,112.5,đống đa,Quận
19,7.0,36.0,194.44,đống đa,Quận
20,6.0,60.0,100.0,hà đông,Quận
21,1.39,35.0,39.71,hà đông,Quận
22,12.0,70.0,171.43,đống đa,Quận
23,9.7,55.0,176.36,đống đa,Quận
24,4.44,40.0,111.0,hoàn kiếm,Quận
25,4.0,50.0,80.0,hoàn kiếm,Quận
26,14.0,70.0,200.0,ba đình,Quận
27,3.5,45.0,77.78,long biên,Quận
28,3.9,47.0,82.98,hà đông,Quận
29,6.9,45.0,153.33,tây hồ,Quận
30,2.35,30.0,78.33,hoàn kiếm,Quận
31,3.05,30.0,101.67,long biên,Quận
32,8.3,58.0,143.1,tây hồ,Quận
33,8.2,50.0,164.0,ba đình,Quận
34,29.9,90.0,332.22,ba đình,Quận
35,10.0,80.0,125.0,ba đình,Quận
36,11.0,65.0,169.23,đống đa,Quận
37,7.8,60.0,130.0,đống đa,Quận
38,8.0,55.0,145.45,thanh xuân,Quận
39,11.0,77.0,142.86,thanh xuân,Quận
40,4.65,43.0,108.14,hà đông,Quận
41,15.0,70.0,214.29,ba đình,Quận
42,15.0,109.0,137.61,ba đình,Quận
43,11.2,48.0,233.33,hoàn kiếm,Quận
44,2.85,92.0,30.98,long biên,Quận
45,1.8,20.0,90.0,hoàn kiếm,Quận
46,1.15,30.0,38.33,hoàn kiếm,Quận
47,12.2,60.0,203.33,ba đình,Quận
48,6.3,88.4,71.27,long biên,Quận
49,17.9,65.0,275.38,ba đình,Quận
50,11.9,50.0,238.0,hoàn kiếm,Quận
51,4.64,53.4,86.89,long biên,Quận
52,3.2,29.0,110.34,ba đình,Quận
53,1.87,30.0,62.33,hà đông,Quận
54,1.98,30.0,66.0,hoàn kiếm,Quận
55,28.0,170.0,164.71,nam từ liêm,Quận
56,5.5,66.0,83.33,hoàn kiếm,Quận
57,12.0,52.0,230.77,ba đình,Quận
58,5.8,35.0,165.71,đống đa,Quận
59,27.5,124.0,221.77,ba đình,Quận
60,3.85,35.0,110.0,đống đa,Quận
61,1.6,30.0,53.33,hà đông,Quận
62,14.0,125.0,112.0,thanh xuân,Quận
63,46.5,256.0,181.64,thanh trì,Huyện
64,2.15,30.0,71.67,hà đông,Quận
65,11.5,125.0,92.0,thanh xuân,Quận
66,35.0,200.0,175.0,thanh xuân,Quận
67,19.5,89.0,219.1,đống đa,Quận
68,23.5,126.0,186.51,hoàn kiếm,Quận
69,3.8,66.0,57.58,hà đông,Quận
70,2.2,47.0,46.81,hoàn kiếm,Quận
71,5.6,91.0,61.54,đống đa,Quận
72,19.5,108.0,180.56,đống đa,Quận
73,2.35,40.0,58.75,long biên,Quận
74,1.98,35.0,56.57,long biên,Quận
75,3.5,39.0,89.74,hoàn kiếm,Quận
